id;Abréviation;Définition;empty
849.0;CLB;Couliboeuf (Gare);
13088.0;CLI;Centre Logistique Industrielle;
869.0;CMG;Chambourg (Gare);
870.0;CMK;Chatillon De Michaille (Gare);
874.0;CMS;central management system;
4576.0;CNFPJ;Centre national de formation à  la police judiciaire;
14552.0;CNR;"Caténaire Normale Renforcée._x000D_
Caractéristiques : 1 porteur principal (116mmÂ² bronze) + 1 porteur auxiliaire (104mmÂ² cuivre)  + 2 fils de contact (150mmÂ² cuivre) caténaire 1500V";
890.0;COA;Carbonne (Gare);
4593.0;CODE BARRE;Saisie informatique pour l'emballage des relais et appareillages de signalisation de ivmr, dans les magasins infrastructure;
3875.0;CONTRE-POINTE;La contre-pointe définit les trains circulant aux périodes de pointe (matin et soir) dans le sens inverse défini par la pointe. par exemple, pour transilien, les trains de contre pointe ont une heure d'arrivée comprise entre 6h et 9h dans le sens paris - banlieue, ou une heure de départ comprise entre 17h et 20h dans le sens banlieue - paris.;
13656.0;COSE;Commande d'Ouverture de SEcours.;
6580.0;CP;Chef de projet;
913.0;CPH;Cannes Marchandises (Gare);
6586.0;CPM;Coeur à  pointe mobile;
925.0;CQS;Les Cauquillous (Gare);
927.0;CRA;Cramans (Gare);
6611.0;CRMPP;Conducteur de manoeuvre et de parcours principal;
6616.0;CRSP;Coordinateur régional sécurité du personnel;
949.0;CSE;Cesseins Prs 27 (Gare);
952.0;CSI;centre de surveillance informatisé;
14759.0;CSNP;"Chef de SectioN Principal (RH 0263)._x000D_
Grade de qualification G, de la filière Equipement, spécialité Encadrement des Etablissements Equipement (EVE). Niveau 2.";
13082.0;CSP;Carburant Sans Paraffine (utilisé dans le chauffage des vieux autorails);
6657.0;CT;Contrat tarifaire;
6659.0;CT;Compteur;
6661.0;CTA;Caisse tgv automotrice;
964.0;CTB;Chateaubriant (Gare);
14752.0;CVPH;"Cadre Equipement Principal Hors classe (RH 0263)._x000D_
Grade de qualification G, de la filière Equipement, spécialité Etudes Inspection (EIV). Niveau 2.";
1033.0;CYY;Chevry Cossigny (Gare);
1036.0;CZC;La Chaize Le Vicomte (Gare);
4694.0;DAAT;"Dispositif d'Arrêt Automatique des Trains, contrôle de franchissement simplifié reposant sur une transmission sol-bord à  l'aide de crocodiles et contribuant à  la réduction du risque de nez à  nez._x000D_
Le DAAT est installé sur les lignes à  une seule voie non électrifiées.";
15019.0;DAC;Demande d'Action Corrective;
6709.0;DAI;Détection automatique d'incident;
9727.0;DAS;Dossier d'analyse sécurité;
4705.0;DATIS;Demande d'autorisation travaux sur les installations de sécurité;
12148.0;DATT;Distributeur automatique de titres de transport;
1059.0;DBR;Distributeur Billetterie Régionale (automates généralement bleus);
4719.0;DCV;Détecteur de chute de véhicules (sur ln);
4722.0;DDASS;Direction départementale des affaires sanitaires et sociales;
13891.0;DE;Dossier Estimatif.;
9733.0;DFS;Dossier final de sécurité;
1086.0;DGU;DANGEAU POSTE 16 PRS (GARE);
4765.0;DI;Dossier d'initialisation : court document de description d'un projet pour permettre de décider de sa mise en programmation (ig og3 d1 nÂ°1);
9623.0;DIACT;Délégation interministérielle à  l'aménagement et à  la compétitivité des territoires;
3894.0;DIS;Déchets industriels spéciaux;
6786.0;DISEPAC;Détermination informatique des secteurs et de l'equipement des postes d'aiguillage et de circulation;
4778.0;DIV;"Demande d'interception de voie : pour la protection des agents chargés des travaux exécutés sur les voies (ou abords) en pleine voie_x000D_
_x000D_
Attention : Obsolète depuis l'arrivée de la DFV avec la nouvelle règlementation S9._x000D_
_x000D_
Demande de Fermeture de Voie (DFV) = Procédé d'assurance-chantier reposant sur une fermeture de voie effectuée par l'Exploitation et accompagnée de la mise en oeuvre d'un bouclage par l'Equipement_x000D_";
1101.0;DLZ;DELUZ (GARE);
6801.0;DMC;Défaut majeur complémentaire;
1105.0;DMR;DOMPIERRE NORD (GARE);
4806.0;DOPFA;Direction des opérations de périmètre et fusions acquisitions;
4808.0;DOS;Directeur des opérations de secours;
4815.0;DPI SQE RA;Direction de la production industrielle sécurité qualité environnement, référentiel et animation;
4826.0;DREAL;Direction Régionale de l'Environnement de l'Aménagement et du Logement;
9626.0;DREIF;Direction régionale de l'équipement d'île-de-france;
4827.0;DRH;Direction des ressources humaines;
6834.0;DSA;Dispositif spécial d'attention;
1139.0;DSO;départ sur ordre;
4851.0;DSS;Dossier de spécification système : sert à  formaliser les besoins fonctionnels et opérationnels du système à  développer;
4855.0;DSVS;Dossier sdf de validation des systèmes;
14290.0;DTS;Directive pour Travaux de Signalisation;
9742.0;DTS;Dossier technique de sécurité;
1162.0;EAL;ESCH SUR ALZETTE (GARE);
1171.0;EBN;EMBRUN (GARE);
14739.0;EEE;"Equipes d'Entretien Equipement._x000D_
C'est une spécialité de la filière équipement.";
4891.0;EFB;Expression fonctionnelle des besoins;
4899.0;EIMM;Etablissement industriel de la maintenance du matériel;
6927.0;EIPP;Entretien individuel de prise de poste;
6928.0;EIR;Express d'intérêt régional;
1198.0;ELE;ELVEN (GARE);
4922.0;EP2FC;Epaisseur de 2 fils de contact : système de mesure embarqué sur un engin (rail/route ou draisine) de surveillance de la caténaire;
1221.0;EPL;EPLUCHES (GARE);
6979.0;ERT;Etablissement recevant des travailleurs;
4950.0;ETT;Equipement de tête de train, associé à  un eqt et un système filaire ou par radio, pour le freinage instantané en tête et en queue des trains du combiné (me140) afin d'augmenter la longueur (750m au lieu de 550m) en conservant la distance de freinage (fret);
7004.0;EUCLIDE;Ensemble d'outils utilisés pour la conception optimisée des liaisons interurbaines de l'europe;
4952.0;EVRP;Evalutation des risques professionnels;
13978.0;EXW;EXW incoterm : Ex works;
13624.0;FAL;Fiche d'Aménagement Léger;
4957.0;FASS;Fonds d'action sanitaire et sociale;
1319.0;FFS;ESSEN (GARE);
13306.0;FPR;Formation Pont Roulant;
1377.0;FSN;LA FRESNAIS (GARE);
1393.0;FYP;FRESNOY LE LUAT PRCI 14 (GARE);
1395.0;FZC;FONTAINES OZILLAC (GARE);
4998.0;GALILEO;Système équivalent à  SOCRATE pour l'aviation : British Airways, KLM, Swissair - voir AMADEUS;
1417.0;GCA;GENSAC LA PALLUE (GARE);
7103.0;GCM;Groupe de coordination de la messagerie;
1428.0;GDM;GUDMONT (GARE);
9760.0;GEMS;Generic error modelling system;
5035.0;GET;Gestion et emission des titres de transport délivrés à  des tiers (voyageurs);
9642.0;GIE;Groupement d'intérêts économiques;
5049.0;GIPS;Gestionnaire d'images pour le suivi (gl --> mise à  disposition dans les postes d'aiguillage pour les annonces voyageurs);
1455.0;GIS;GISORS (GARE);
1478.0;GPB;GRANDPUITS BAGNEAUX (GARE);
1491.0;GRG;GREMBERG (GARE);
1498.0;GRY;GRAINVILLE YMAUVILLE (GARE);
1501.0;GST;LE GENEST (GARE);
14821.0;GVGC;Grande Visite Générale partie Confort;
1543.0;HCH;HOCHFELDEN (GARE);
1571.0;HOD;HOERDT (GARE);
7200.0;I;Intensité;
5118.0;IEM;Informations sur evénement de maintenance : niveau de mission de maintenance (début et fin d'intervention, inhibition d'alarmes ou d'alertes, acquittements...);
7240.0;IGTE;"Ingénieur transport exploitation._x000D_
Grade de qualification H, de la filière Transport-Mouvement, spécialité Mouvement. Niveau 1.";
7241.0;IGTEH;"Ingénieur transport exploitation hors classe._x000D_
Grade de qualification H, de la filière Transport-Mouvement, spécialité Mouvement. Niveau 2.";
5132.0;ILR;Implantation locale reconnue;
14434.0;I&P Agence BPL;Ingénierie & Projets - Agence Projets Bretagne-Pays-de-la-Loire;
14658.0;I&P DPF DPE;Ingénierie & Projets - Direction des Projets Franciliens - Département des Études;
14337.0;I&P MN;Ingénierie & Projets Manche-Nord;
14479.0;I&P Perf SO;Ingénierie & Projets - Pôle Performance et Pilotage Sud-Ouest;
14776.0;IQVV;Indice Qualité Voie Vista;
9528.0;IRM;"Irm ( identity relationship management )_x000D_
outil de gestion des identités et de leurs relations.";
3953.0;ITT;Indice du temps tampon;
7300.0;ITT;Incapacité de travail temporaire totale;
13681.0;ITV;Inventaire de Travaux de Visite;
1629.0;IV;IVRY SUR SEINE (GARE);
1630.0;IWY;IWUY (GARE);
1642.0;JC;JARNAC CHARENTE (GARE);
1711.0;LAC;LES ARCS-DRAGUIGNAN (GARE);
1722.0;LAR;LAROCHE MIGENNES (GARE);
1738.0;LBI;LA BASSE INDRE ST HERBLAIN (GARE);
1739.0;LBK;LAMBERSART (GARE);
1740.0;LBL;L'ARBRESLE (GARE);
7367.0;LCR;London and continental railways ( consortium chargé de construire la ligne tunnel / londres );
1765.0;LCS;"La loi de Continuité de Service (LCS)_x000D_
La loi  sur le dialogue social et la continuité du service public dans les transports terrestres réguliers de voyageurs  est entrée en vigueur le 1er janvier 2008. Le voyageur se voit garantir des droits lors de certains évènements ayant des conséquences sur l'exploitation ferroviaire :_x000D_
- Celui d'un engagement sur le niveau de service,_x000D_
- Celui de disposer d'une information gratuite, exacte, précise, fournie à  l'avance lui permettant de savoir quels seront les dessertes et les horaires assurés,_x000D_
- Celui d'être remboursé si le plan de transport annoncé n'a pas été correctement exécuté ou si l'information s'est révélée mauvaise.";
1808.0;LFB;LA FERTE BERNARD (GARE);
1812.0;LFI;LA FOUILLOUSE (GARE);
1829.0;LGN;LONGUYON (GARE);
7378.0;LHR;Liant hydraulique routier;
1857.0;LIE;LIEGE (GARE);
1870.0;LJU;LONGJUMEAU (GARE);
1871.0;LL;LEVAL (GARE);
1877.0;LLK;LALINDE (GARE);
1909.0;LNK;LEFFRINCKOUCKE (GARE);
1961.0;LRB;LA ROCHE-EN-BRENIL (GARE);
2002.0;LTH;LE THOR (GARE);
2005.0;LTM;LE TREPORT MERS (GARE);
2040.0;LVL;LA VOUTE SUR LOIRE (GARE);
3966.0;LVMM;Livret de Visite du Matériel à  Marchandises / Livret de Visite de Maintenance du Matériel;
2068.0;LYQ;LIVRY SUR SEINE (GARE);
7440.0;MASTER;Méthode d'analyse de la sécurité du travail et d'evaluation des risques;
8301.0;UPC;Unité de pilotage des contraventions;
3548.0;UPS;uninterruptible power supply;
5859.0;UTE;Union technique de l'electricité;
8323.0;V2N;Voiture à  2 niveaux;
3564.0;VAJ;VIESCAMP SOUS JALLES (GARE);
13669.0;VCH;Versailles-Chantiers (GARE);
3582.0;VCV;VALENCE TGV (GARE);
3592.0;VDN;VERDUN (GARE);
3599.0;VEC;VIEUVICQ MONTIGNY (GARE);
3627.0;VIB;VILLIERS LE BEL GONESSE (GARE);
5884.0;VNF;Voires navigables de france;
3717.0;VT;VERTOU (GARE);
8396.0;VUTP;Voie unique temporaire à  installation permanente;
3746.0;VYV;VITRY LA VILLE (GARE);
3752.0;VZL;VEZELISE (GARE);
