Bahnhof_Gare_Stazione;Einheit;2013;2014;2015;2016;2017;2018;2019;2020;2021;Bemerkung;Didok-Nummer;BPUIC;Abkuerzung Bahnhof;lod;Geoposition;Transportunternehmung (Nummer);meteo;PLZ
Aarau;PB/Werktag;—;—;71000;72000;73000;72000;76000.0;57000.0;58000.0;;;;;;;;;
Fribourg/Freiburg;PB/Werktag;—;—;31000;31000;31000;31000;32000.0;23000.0;25000.0;;;;;;;;;
Neuchâtel;PB/Werktag;—;—;33000;33000;33000;33000;33000.0;24000.0;25000.0;;;;;;;;;
Zug;PB/Werktag;62000;62000;64000;66000;66000;66000;68000.0;48000.0;46000.0;;;;;;;;;
Zürich Hardbrücke;PB/Werktag;—;—;39000;48000;—;49000;55000.0;34000.0;33000.0;;;;;;;;;
Genève-Aéroport;PB/Werktag;—;—;41000;42000;44000;44000;46000.0;19000.0;20000.0;;;;;;;;;
Luzern;PB/Werktag;160000;157000;159000;163000;164000;167000;167000.0;105000.0;102000.0;;;;;;;;;
Zürich Altstetten;PB/Werktag;—;—;57000;60000;64000;62000;;;43000.0;;;;;;;;;
Basel SBB;PB/Werktag;134000;135000;134000;135000;133000;134000;136000.0;92000.0;96000.0;;;;;;;;;
Winterthur;PB/Werktag;112000;115000;121000;121000;117000;121000;128000.0;92000.0;95000.0;;;;;;;;;
Zürich Stadelhofen;PB/Werktag;—;—;92000;95000;100000;99000;100000.0;68000.0;68000.0;;;;;;;;;
Baden;PB/Werktag;—;—;63000;63000;63000;61000;60000.0;46000.0;45000.0;;;;;;;;;
Bellinzona;PB/Werktag;—;—;—;—;15000;15000;15000.0;12000.0;13000.0;;;;;;;;;
Bern;PB/Werktag;306000;305000;313000;318000;324000;326000;330000.0;228000.0;229000.0;;;;;;;;;
Lausanne;PB/Werktag;139000;140000;143000;149000;148000;145000;152000.0;97000.0;103000.0;;;;;;;;;
Lugano;PB/Werktag;—;—;—;—;24000;26000;26000.0;17000.0;22000.0;;;;;;;;;
Olten;PB/Werktag;—;—;73000;74000;75000;76000;77000.0;52000.0;51000.0;;;;;;;;;
St. Gallen;PB/Werktag;79000;77000;78000;77000;—;—;82000.0;54000.0;54000.0;;;;;;;;;
Zürich Enge;PB/Werktag;—;—;21000;23000;23000;25000;25000.0;18000.0;17000.0;;;;;;;;;
Zürich HB;PB/Werktag;429000;437000;437000;439000;438000;443000;461000.0;295000.0;286000.0;;;;;;;;;
Zürich Oerlikon;PB/Werktag;—;—;—;—;106000;112000;117000.0;84000.0;84000.0;;;;;;;;;
Biel/Bienne;PB/Werktag;—;—;68000;67000;67000;69000;69000.0;53000.0;55000.0;;;;;;;;;
Chur;PB/Werktag;—;—;37000;37000;38000;38000;39000.0;30000.0;31000.0;;;;;;;;;
Genève;PB/Werktag;—;—;151000;163000;166000;171000;177000.0;112000.0;116000.0;;;;;;;;;
Thun;PB/Werktag;—;—;43000;43000;42000;49000;45000.0;30000.0;31000.0;;;;;;;;;
