Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Perron Länge;perronflach_brutto_m2;perronflach_netto_m2;schienenfreier Zugang;Didok-Nummer;FID;Geoposition;BPUIC;lod
930;-0.182;CH;Chur;Aussenperron;1;254;726;;ja;9000;35298924;46.85399535489737,9.53084429859494;8509000;http://lod.opentransportdata.swiss/didok/8509000
930;-0.187;CH;Chur;Hausperron;2;238;1055;;ja;9000;35298908;46.85410522379752,9.530767756523877;8509000;http://lod.opentransportdata.swiss/didok/8509000
920;13.646;CH;Chur;Mittelperron;13/14;181;1156;896.22;ja;9000;35302702;46.853906520689414,9.528536006606826;8509000;http://lod.opentransportdata.swiss/didok/8509000
920;13.447;CH;Chur;Mittelperron;9/10;533;4300;3740.31;ja;9000;35297017;46.854823679936004,9.53082449989273;8509000;http://lod.opentransportdata.swiss/didok/8509000
920;13.543;CH;Chur;Mittelperron;11/12;382;2466;2081.4;ja;9000;35297030;46.85436824080661,9.529733935852612;8509000;http://lod.opentransportdata.swiss/didok/8509000
900;5.477;BRAG;Bad Ragaz;Mittelperron;3/4;393;2666;1804.64;ja;9004;35282649;47.01126532449049,9.502015017228452;8509004;http://lod.opentransportdata.swiss/didok/8509004
900;7.563;MF;Maienfeld;Aussenperron;2;319;1001;652.72;ja;9003;35283153;47.00491446054308,9.527027956833475;8509003;http://lod.opentransportdata.swiss/didok/8509003
900;12.204;LQ;Landquart;Aussenperron;4;415;1655;1351.95;ja;9002;35283243;46.96827237331089,9.553474625095932;8509002;http://lod.opentransportdata.swiss/didok/8509002
900;12.204;LQ;Landquart;Mittelperron;2/3;415;3523;2900.87;ja;9002;35283784;46.968289532335554,9.553678432426974;8509002;http://lod.opentransportdata.swiss/didok/8509002
900;7.563;MF;Maienfeld;Hausperron;1;320;952;614.61;ja;9003;35283168;47.00499701436452,9.527107779132924;8509003;http://lod.opentransportdata.swiss/didok/8509003
900;25.507;CH;Chur;Hausperron;4/5;480;3200;1925.88;ja;9000;35292645;46.85448262662834,9.530907622663175;8509000;http://lod.opentransportdata.swiss/didok/8509000
900;25.506;CH;Chur;Mittelperron;7/8;416;2541;2111.1;ja;9000;35296964;46.8545768705474,9.530768336120786;8509000;http://lod.opentransportdata.swiss/didok/8509000
890;2.592;MELS;Mels;Mittelperron;3/4;306;1587;796.72;ja;9412;35288220;47.054124307437164,9.417423448527252;8509412;http://lod.opentransportdata.swiss/didok/8509412
890;30.549;WN;Weesen;Mittelperron;3/4;382;3137;;ja;9419;35286471;47.129528563096535,9.09682542174114;8509419;http://lod.opentransportdata.swiss/didok/8509419
890;21.163;MG;Murg;Mittelperron;1/2;200;1283;781.51;ja;9417;35288081;47.11337406715868,9.215761835439398;8509417;http://lod.opentransportdata.swiss/didok/8509417
890;24.694;MH;Muhlehorn;Hausperron;1;166;613;523.91;ja;9418;35301768;47.11798089516404,9.17184459283059;8509418;http://lod.opentransportdata.swiss/didok/8509418
890;13.474;WAL;Walenstadt;Hausperron;2;169;587;481.81;ja;9414;35308297;47.11978249516359,9.31297516589911;8509414;http://lod.opentransportdata.swiss/didok/8509414
890;9.588;FMS;Flums;Mittelperron;3/4;344;1877;1174.57;ja;9413;35288297;47.09576241489287,9.34933918417726;8509413;http://lod.opentransportdata.swiss/didok/8509413
890;0.08;SA;Sargans;Aussenperron;2;436;2433;2196.4;ja;9411;35298974;47.04412330085351,9.447045135250104;8509411;http://lod.opentransportdata.swiss/didok/8509411
890;2.59;MELS;Mels;Hilfskante;2;158;240;;nein;9412;35288233;47.054026966049854,9.41737245915065;8509412;http://lod.opentransportdata.swiss/didok/8509412
890;16.315;MOLS;Mols;Mittelperron;1/2;171;941;690.15;ja;9415;271756926;47.112838937512,9.277559310486888;8509415;http://lod.opentransportdata.swiss/didok/8509415
890;0.041;SA;Sargans;Mittelperron;3/4;420;2759;2327.27;ja;9411;35298959;47.04402913324693,9.447558816568204;8509411;http://lod.opentransportdata.swiss/didok/8509411
890;13.388;WAL;Walenstadt;Mittelperron;3/4;321;1864;1337.67;ja;9414;35307179;47.119533487768216,9.3140605822277;8509414;http://lod.opentransportdata.swiss/didok/8509414
890;9.672;FMS;Flums;Dienstperron;2;87;133;;nein;9413;35288321;47.096267838208014,9.34849351142112;8509413;http://lod.opentransportdata.swiss/didok/8509413
890;17.909;UNT;Unterterzen;Mittelperron;1/2;316;1869;1395.07;ja;9416;35288308;47.11441390823211,9.25749143296454;8509416;http://lod.opentransportdata.swiss/didok/8509416
890;33.564;ZB;Ziegelbrucke;Dienstperron;1;140;278;;ja;3225;35291390;47.135926268266836,9.060475867281443;8503225;http://lod.opentransportdata.swiss/didok/8503225
880;47.873;HEBG;Heerbrugg;Hausperron;1;310;1118;960.27;ja;6317;35295180;47.41004609393571,9.62673934499164;8506317;http://lod.opentransportdata.swiss/didok/8506317
880;35.168;ORT;Oberriet SG;Aussenperron;2;170;533;440.9;ja;9400;139507651;47.32209631969492,9.571422668498185;8509400;http://lod.opentransportdata.swiss/didok/8509400
880;44.17;REB;Rebstein-Marbach;Hausperron;1;170;519;428.39;ja;6318;139507773;47.392024521967144,9.585504412535078;8506318;http://lod.opentransportdata.swiss/didok/8506318
880;66.251;RSST;Rorschach Stadt;Aussenperron;1;;574;;ja;6322;267236490;47.475499383057254,9.489645566032898;8506322;http://lod.opentransportdata.swiss/didok/8506322
880;13.729;RAEF;Rafis-Burgerau;Aussenperron;1;217;599;;ja;9405;35288494;47.149704022230154,9.485300722510603;8509405;http://lod.opentransportdata.swiss/didok/8509405
880;6.929;WEI;Weite;Hausperron;1;240;;;ja;9407;35295032;47.090583741897795,9.50074478833982;8509407;http://lod.opentransportdata.swiss/didok/8509407
880;35.168;ORT;Oberriet SG;Hausperron;1;170;582;404.2;ja;9400;139507463;47.322106845615934,9.571279200338282;8509400;http://lod.opentransportdata.swiss/didok/8509400
880;57.717;RCK;Rheineck;Aussenperron;2;320;949;704.58;ja;6313;35288896;47.46604466326324,9.591866757680961;8506313;http://lod.opentransportdata.swiss/didok/8506313
880;65.121;RS;Rorschach;Hausperron;1;205;925;879.8;ja;6311;35285410;47.47789319604834,9.504217679969518;8506311;http://lod.opentransportdata.swiss/didok/8506311
880;24.566;SAS;Salez-Sennwald;Aussenperron;1;190;676;483.6;ja;9402;130336007;47.241357203400945,9.502370873559943;8509402;http://lod.opentransportdata.swiss/didok/8509402
880;0.125;SA;Sargans;Hausperron;6;355;1337;1150.87;ja;9411;66438362;47.044614561361776,9.446734178559758;8509411;http://lod.opentransportdata.swiss/didok/8509411
880;4.249;TRUE;Trubbach;Aussenperron;3;219;670;;ja;9408;35285986;47.07118091321177,9.479925590571835;8509408;http://lod.opentransportdata.swiss/didok/8509408
880;65.113;RS;Rorschach;Mittelperron;2/3;348;2152;1260.37;ja;6311;35285422;47.47776673862739,9.504339822208566;8506311;http://lod.opentransportdata.swiss/didok/8506311
880;0.124;SA;Sargans;Hausperron;5;446;1883;1630.24;ja;9411;35298947;47.044543768846744,9.446657377860369;8509411;http://lod.opentransportdata.swiss/didok/8509411
880;80.429;SG;St. Gallen;Mittelperron;2/3;429;2761;2171.26;ja;6302;35287447;47.423867731914775,9.369997178253465;8506302;http://lod.opentransportdata.swiss/didok/8506302
880;80.441;SG;St. Gallen;Mittelperron;4/5;261;1618;1260.11;ja;6302;35287460;47.423854601900146,9.369782047367256;8506302;http://lod.opentransportdata.swiss/didok/8506302
880;53.659;SMG;St. Margrethen SG;Hausperron;1;321;1604;1477.75;ja;6314;35284310;47.45286456328678,9.6403260247854;8506314;http://lod.opentransportdata.swiss/didok/8506314
880;62.694;STA;Staad SG;Aussenperron;1;194;580;369.62;ja;6312;35289050;47.48070041507537,9.53580479636085;8506312;http://lod.opentransportdata.swiss/didok/8506312
880;50.921;AUSG;Au SG;Hausperron;1;170;531;441.51;nein;6316;35289300;47.43496855542749,9.641221217860549;8506316;http://lod.opentransportdata.swiss/didok/8506316
880;15.869;BU;Buchs SG;Mittelperron;3/4;422;3141;3789.81;ja;9404;35288506;47.16911221915895,9.478834274440025;8509404;http://lod.opentransportdata.swiss/didok/8509404
880;15.758;BU;Buchs SG;Aussenperron;2;312;1666;1357.28;ja;9404;35288519;47.1674707818749,9.479169256325637;8509404;http://lod.opentransportdata.swiss/didok/8509404
880;15.76;BU;Buchs SG;Hausperron;1;321;1545;1239.41;ja;9404;35288535;47.167466651090756,9.479011077420884;8509404;http://lod.opentransportdata.swiss/didok/8509404
880;67.858;GOL;Goldach;Aussenperron;2;220;671;689.47;ja;6305;35298986;47.47408833136478,9.46861285485267;8506305;http://lod.opentransportdata.swiss/didok/8506305
880;67.86;GOL;Goldach;Hausperron;1;220;682;563.68;ja;6305;35298997;47.47399638438018,9.468607102065887;8506305;http://lod.opentransportdata.swiss/didok/8506305
